"","miRNA","lncRNA"
"135","miR-30c-5p","EPB41L4A-AS1"
"136","miR-30c-5p","MALAT1"
"137","miR-30c-5p","NEFL"
"138","miR-30c-5p","RP6-24A23.7"
"139","miR-30c-5p","ZNF518A"
"140","miR-30c-5p","RP11-819C21.1"
"141","miR-30c-5p","RP11-618G20.1"
"142","miR-30c-5p","ERVK3-1"
"143","miR-30c-5p","AC141846.4"
"144","miR-30c-5p","RP11-16E12.2"
"145","miR-30c-5p","LINC00707"
"146","miR-761","RP11-278A23.2"
"147","miR-761","AC002331.1"
"148","miR-761","RP11-54O7.1"
"149","miR-761","LINC00339"
"150","miR-761","AC096579.7"
"151","miR-761","RP11-280F2.2"
"152","miR-761","XIST"
"153","miR-761","NUTM2A-AS1"
"154","miR-761","SEMA3B"
"155","miR-761","EPB41L4A-AS1"
"156","miR-761","RP11-379K17.4"
"157","miR-761","ZNRD1-AS1"
"158","miR-761","RP1-5O6.6"
"159","miR-761","RP11-203J24.9"
"160","miR-761","LINC00086"
"161","miR-761","HCG17"
"162","miR-761","HCG18"
"163","miR-761","RP11-264B17.3"
"164","miR-761","RP11-773D16.1"
"165","miR-761","RP4-773N10.5"
"166","miR-761","KCNQ1OT1"
"167","miR-761","AC113189.5"
"168","miR-761","RP11-467L20.9"
"169","miR-761","AC018766.4"
"170","miR-761","LINC00176"
"171","miR-101-3p","RP11-94L15.2"
"172","miR-101-3p","RP11-220I1.1"
"173","miR-101-3p","XIST"
"174","miR-101-3p","SNHG1"
"175","miR-101-3p","RP11-1134I14.8"
"176","miR-101-3p","FAM201A"
"177","miR-101-3p","RP11-498C9.15"
"178","miR-101-3p","CTB-25J19.9"
"179","miR-101-3p","RP1-239B22.5"
"180","miR-101-3p","LL22NC03-N27C7.1"
"181","miR-101-3p","RP11-361F15.2"
"182","miR-101-3p","MALAT1"
"183","miR-101-3p","RP11-216F19.2"
"184","miR-101-3p","ZNF518A"
"185","miR-101-3p","SNHG6"
"186","miR-101-3p","hsa-mir-142"
"187","miR-186-5p","HNRNPU-AS1"
"188","miR-186-5p","OIP5-AS1"
"189","miR-186-5p","RP5-1180C10.2"
"190","miR-186-5p","CTD-2245O6.1"
"191","miR-186-5p","RP11-373L24.1"
"192","miR-186-5p","SNHG3"
"193","miR-186-5p","RP11-220I1.1"
"194","miR-186-5p","CTC-451A6.4"
"195","miR-186-5p","RP11-61A14.2"
"196","miR-186-5p","RP11-815I9.4"
"197","miR-186-5p","CTB-89H12.4"
"198","miR-186-5p","XIST"
"199","miR-186-5p","RP1-228H13.5"
"200","miR-186-5p","SCAMP1"
"201","miR-186-5p","RP6-24A23.7"
"202","miR-186-5p","RP11-379K17.11"
"203","miR-186-5p","TUG1"
"204","miR-186-5p","C11orf95"
"205","miR-186-5p","RP1-239B22.5"
"206","miR-186-5p","LINC00662"
"207","miR-186-5p","SNHG7"
"208","miR-186-5p","RP11-218M22.1"
"209","miR-186-5p","CTD-2540L5.5"
"210","miR-186-5p","DCP1A"
"211","miR-186-5p","ZNF518A"
"212","miR-137","OIP5-AS1"
"213","miR-137","CTB-89H12.4"
"214","miR-137","XIST"
"215","miR-137","DAPK1-IT1"
"216","miR-137","AP000318.2"
"217","miR-137","SCAMP1"
"218","miR-137","RP11-498C9.15"
"219","miR-137","LA16c-306E5.2"
"220","miR-137","FGD5-AS1"
"221","miR-197-3p","HNRNPU-AS1"
"222","miR-197-3p","CTBP1-AS1"
"223","miR-197-3p","SNHG12"
"224","miR-197-3p","SPPL2B"
"225","miR-197-3p","XIST"
"226","miR-197-3p","SCAMP1"
"227","miR-197-3p","C17orf76-AS1"
"228","miR-197-3p","TP73-AS1"
"229","miR-197-3p","RP6-24A23.7"
"230","miR-197-3p","TUG1"
"231","miR-197-3p","RP11-10O17.2"
"232","miR-197-3p","KCNQ1OT1"
"233","miR-197-3p","MALAT1"
"234","miR-197-3p","CTC-444N24.11"
"235","miR-320b","RP11-54O7.3"
"236","miR-320b","RP11-303E16.2"
"237","miR-320b","hsa-mir-6080"
"238","miR-320b","DYX1C1-CCPG1"
"239","miR-320b","OIP5-AS1"
"240","miR-320b","SNHG12"
"241","miR-320b","SPPL2B"
"242","miR-320b","XIST"
"243","miR-320b","RP1-228H13.5"
"244","miR-320b","RP11-400F19.8"
"245","miR-320b","LINC00680"
"246","miR-320b","RP11-66D17.5"
"247","miR-320b","CTA-204B4.6"
"248","miR-320b","AC104389.28"
"249","miR-320b","HCG18"
"250","miR-320b","RP11-342K6.1"
"251","miR-320b","LINC00641"
"252","miR-320b","RP11-361F15.2"
"253","miR-320b","AC093323.3"
"254","miR-320b","DCP1A"
"255","miR-320b","MALAT1"
"256","miR-320b","NEAT1"
"257","miR-320b","FGD5-AS1"
"258","miR-320b","ILF3-AS1"
"259","miR-320b","hsa-mir-146a"
"260","miR-3118","BZRAP1-AS1"
"261","miR-3118","AC005062.2"
"262","miR-3118","RP11-478C19.2"
"263","miR-3118","SCAMP1"
"264","miR-3118","hsa-mir-212"
"265","miR-3118","WDR7-UA1"
"266","miR-3118","RP11-498C9.15"
"267","miR-3118","PINK1-AS"
"268","miR-3118","RP11-214C8.5"
"269","miR-3118","C11orf95"
"270","miR-3118","KCNQ1OT1"
"271","miR-3118","RP11-216F19.2"
"272","miR-3118","RAMP2-AS1"
"273","miR-3118","hsa-mir-142"
"274","miR-190b","SNHG16"
"275","miR-190b","XIST"
"276","miR-190b","MIR4720"
"277","miR-190b","AC084219.4"
"278","miR-190b","LINC00662"
"279","miR-190b","RP11-227D2.3"
"280","miR-190b","PRIM2"
"281","miR-190b","AC007255.7"
"282","miR-190b","UBXN8"
"283","miR-92b-3p","AC005307.3"
"284","miR-92b-3p","RP11-206L10.11"
"285","miR-92b-3p","AC074117.10"
"286","miR-92b-3p","LINC00657"
"287","miR-92b-3p","OIP5-AS1"
"288","miR-92b-3p","SNHG5"
"289","miR-92b-3p","PITPNA-AS1"
"290","miR-92b-3p","XIST"
"291","miR-92b-3p","DAPK1-IT1"
"292","miR-92b-3p","RP4-714D9.5"
"293","miR-92b-3p","SCAMP1"
"294","miR-92b-3p","AC093627.10"
"295","miR-92b-3p","AC007228.9"
"296","miR-92b-3p","RP11-492E3.1"
"297","miR-92b-3p","RP1-5O6.6"
"298","miR-92b-3p","AC005943.5"
"299","miR-92b-3p","RNU4ATAC"
"300","miR-92b-3p","RP3-341D10.4"
"301","miR-92b-3p","RP11-46C20.1"
"302","miR-92b-3p","MALAT1"
"303","miR-92b-3p","NEFL"
"304","miR-9-5p","HNRNPU-AS1"
"305","miR-9-5p","RP11-170L3.8"
"306","miR-9-5p","XIST"
"307","miR-9-5p","UHRF1"
"308","miR-9-5p","RP6-24A23.7"
"309","miR-9-5p","CTB-25J19.9"
"310","miR-9-5p","RP13-507I23.1"
"311","miR-9-5p","TUG1"
"312","miR-9-5p","SNHG7"
"313","miR-9-5p","NEFL"
"314","miR-9-5p","NEAT1"
"315","miR-214-3p","RP11-278A23.2"
"316","miR-214-3p","AC002331.1"
"317","miR-214-3p","RP11-54O7.1"
"318","miR-214-3p","LINC00339"
"319","miR-214-3p","AC096579.7"
"320","miR-214-3p","RP11-280F2.2"
"321","miR-214-3p","XIST"
"322","miR-214-3p","NUTM2A-AS1"
"323","miR-214-3p","SEMA3B"
"324","miR-214-3p","EPB41L4A-AS1"
"325","miR-214-3p","RP11-379K17.4"
"326","miR-214-3p","ZNRD1-AS1"
"327","miR-214-3p","RP1-5O6.6"
"328","miR-214-3p","RP11-203J24.9"
"329","miR-214-3p","LINC00086"
"330","miR-214-3p","HCG17"
"331","miR-214-3p","HCG18"
"332","miR-214-3p","RP11-264B17.3"
"333","miR-214-3p","RP11-773D16.1"
"334","miR-214-3p","RP4-773N10.5"
"335","miR-214-3p","KCNQ1OT1"
"336","miR-214-3p","AC113189.5"
"337","miR-214-3p","RP11-467L20.9"
"338","miR-214-3p","LINC00176"
"339","miR-199a-5p","HNRNPU-AS1"
"340","miR-199a-5p","RP11-106M3.2"
"341","miR-199a-5p","SNHG12"
"342","miR-199a-5p","RP11-170L3.8"
"343","miR-199a-5p","RP11-372K14.2"
"344","miR-199a-5p","C17orf76-AS1"
"345","miR-199a-5p","RP6-24A23.7"
"346","miR-199a-5p","AC108142.1"
"347","miR-199a-5p","ZNF833P"
"348","miR-199a-5p","RP1-5O6.6"
"349","miR-199a-5p","RP11-473I1.10"
"350","miR-199a-5p","RP11-203J24.9"
"351","miR-199a-5p","RP11-108M9.3"
"352","miR-199a-5p","LINC00662"
"353","miR-488-3p","XIST"
"354","miR-488-3p","SENP3-EIF4A1"
"355","miR-488-3p","CTD-2270L9.5"
"356","miR-488-3p","RP11-473I1.10"
"357","miR-488-3p","RP5-1186N24.3"
"358","miR-488-3p","CTD-2369P2.2"
"359","miR-4735-3p","POLDIP2"
"360","miR-4735-3p","RP11-311C24.1"
"361","miR-4735-3p","OIP5-AS1"
"362","miR-4735-3p","GS1-358P8.4"
"363","miR-4735-3p","RP11-170L3.8"
"364","miR-4735-3p","XIST"
"365","miR-4735-3p","RECQL4"
"366","miR-4735-3p","RP11-553L6.5"
"367","miR-4735-3p","RP6-24A23.7"
"368","miR-4735-3p","SNHG15"
"369","miR-4735-3p","RP11-379K17.11"
"370","miR-4735-3p","hsa-mir-212"
"371","miR-4735-3p","LINC00467"
"372","miR-4735-3p","RP11-498C9.15"
"373","miR-4735-3p","RP1-37E16.12"
"374","miR-4735-3p","GAS5"
"375","miR-4735-3p","RP11-834C11.4"
"376","miR-4735-3p","AF011889.5"
"377","miR-4735-3p","CASC2"
"378","miR-181b-5p","HNRNPU-AS1"
"379","miR-181b-5p","CTD-2538C1.2"
"380","miR-181b-5p","SNHG12"
"381","miR-181b-5p","RP11-170L3.8"
"382","miR-181b-5p","CTB-89H12.4"
"383","miR-181b-5p","RP11-478C19.2"
"384","miR-181b-5p","XIST"
"385","miR-181b-5p","RP4-785G19.5"
"386","miR-181b-5p","RP11-145M9.4"
"387","miR-181b-5p","AC079767.2"
"388","miR-181b-5p","ZNF883"
"389","miR-181b-5p","RP1-178F10.3"
"390","miR-181b-5p","CTA-204B4.6"
"391","miR-181b-5p","AC005943.5"
"392","miR-181b-5p","RP11-315C6.3"
"393","miR-181b-5p","CROCCP2"
"394","miR-181b-5p","RP1-265C24.9"
"395","miR-181b-5p","RP11-480D4.3"
"396","miR-181b-5p","SNHG7"
"397","miR-181b-5p","RP11-615I2.7"
"398","miR-181b-5p","RP11-361F15.2"
"399","miR-181b-5p","MALAT1"
"400","miR-181b-5p","LINC00667"
"401","miR-181b-5p","NEAT1"
"402","miR-181b-5p","RP11-216F19.2"
"403","miR-181a-5p","HNRNPU-AS1"
"404","miR-181a-5p","CTD-2538C1.2"
"405","miR-181a-5p","SNHG12"
"406","miR-181a-5p","RP11-170L3.8"
"407","miR-181a-5p","CTB-89H12.4"
"408","miR-181a-5p","RP11-478C19.2"
"409","miR-181a-5p","XIST"
"410","miR-181a-5p","RP4-785G19.5"
"411","miR-181a-5p","RP11-145M9.4"
"412","miR-181a-5p","AC079767.2"
"413","miR-181a-5p","ZNF883"
"414","miR-181a-5p","RP1-178F10.3"
"415","miR-181a-5p","CTA-204B4.6"
"416","miR-181a-5p","AC005943.5"
